accuracy,loss,val_accuracy,val_loss,learning_rate
0.2777777910232544,1.5389742851257324,0.5,1.5490517616271973,0.0010000000474974513
0.5396825671195984,1.252756953239441,0.5,1.4101133346557617,0.0010000000474974513
0.5634920597076416,1.1717740297317505,0.5833333134651184,1.3401756286621094,0.0010000000474974513
0.6349206566810608,1.0573829412460327,0.5833333134651184,1.3106689453125,0.0010000000474974513
0.6322751045227051,0.9507266879081726,0.5,1.456286907196045,0.0010000000474974513
0.7248677015304565,0.916697084903717,0.5,1.4372152090072632,0.0010000000474974513
0.7063491940498352,0.8946447372436523,0.5,1.4928337335586548,0.0010000000474974513
0.7407407164573669,0.9094312787055969,0.5,1.5591570138931274,0.0010000000474974513
0.7671957612037659,0.8328535556793213,0.5,1.698093056678772,0.0010000000474974513
0.7830687761306763,0.6747642159461975,0.5,1.7650871276855469,0.0005000000237487257
0.8333333134651184,0.6127161383628845,0.5833333134651184,1.8477171659469604,0.0005000000237487257
0.7910053133964539,0.8122612833976746,0.3333333432674408,1.9071046113967896,0.0005000000237487257
0.8042327761650085,0.7188712358474731,0.3333333432674408,2.0333845615386963,0.0005000000237487257
0.817460298538208,0.6552959680557251,0.3333333432674408,2.16420841217041,0.0005000000237487257
0.8042327761650085,0.6541332006454468,0.3333333432674408,2.1716854572296143,0.0002500000118743628
0.8148148059844971,0.6084122061729431,0.3333333432674408,2.204263687133789,0.0002500000118743628
0.8095238208770752,0.6546246409416199,0.3333333432674408,2.293034791946411,0.0002500000118743628
0.841269850730896,0.6318174004554749,0.3333333432674408,2.3623721599578857,0.0002500000118743628
0.8333333134651184,0.6562522053718567,0.3333333432674408,2.3903191089630127,0.0002500000118743628
